mood_choice,quote_type,body,author
Disappointment,Inspirational,"You can do anything, but not everything.",David Allen
Insult,Inspirational,"Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.",Antoine de Saint-Exupéry
Insult,Inspirational,"The richest man is not he who has the most, but he who needs the least.",Unknown Author
Depressed,Inspirational,You miss 100 percent of the shots you never take.,Wayne Gretzky
Agony,Inspirational,"Courage is not the absence of fear, but rather the judgement that something else is more important than fear.",Ambrose Redmoon
Agony,Inspirational,You must be the change you wish to see in the world.,Gandhi
Insult,Inspirational,"When hungry, eat your rice; when tired, close your eyes. Fools may laugh at me, but wise men will know what I mean.",Lin-chi
Disappointment,Inspirational,The third-rate mind is only happy when it is thinking with the majority. The second-rate mind is only happy when it is thinking with the minority. The first-rate mind is only happy when it is thinking.,A. A. Milne
Depressed,Inspirational,"To the man who only has a hammer, everything he encounters begins to look like a nail.",Abraham Maslow
Disappointment,Inspirational,"We are what we repeatedly do; excellence, then, is not an act but a habit.",Aristotle
Sorrow,Inspirational,A wise man gets more use from his enemies than a fool from his friends,Baltasar Gracian
Disappointment,Inspirational,Do not seek to follow in the footsteps of the men of old; seek what they sought.,Basho
Depressed,Inspirational,Everyone is a genius at least once a year. The real geniuses simply have their bright ideas closer together.,Georg Christoph Lichtenberg
Depressed,Inspirational,"What we think, or what we know, or what we believe is, in the end, of little consequence. The only consequence is what we do.",John Ruskin
Agony,Inspirational,The real voyage of discovery consists not in seeking new lands but seeing with new eyes.,Marcel Proust
Disappointment,Inspirational,"Work like you don’t need money, love like you’ve never been hurt, and dance like no one’s watching",Unknown Author
Insult,Inspirational,"Try a thing you haven’t done three times. Once, to get over the fear of doing it. Twice, to learn how to do it. And a third time, to figure out whether you like it or not.",Virgil Garnett Thomson
Agony,Inspirational," Even if you’re on the right track, you’ll get run over if you just sit there.",Will Rogers
Sorrow,Inspirational,"People often say that motivation doesn’t last. Well, neither does bathing – that’s why we recommend it daily.",Zig Ziglar
Disappointment,Inspirational,"What the world needs is more geniuses with humility, there are so few of us left.",Oscar Levant
Sorrow,Inspirational, Always forgive your enemies; nothing annoys them so much.,Oscar Wilde
Insult,Inspirational,The person who reads too much and uses his brain too little will fall into lazy habits of thinking.,Albert Einstein
Depressed,Inspirational,It is the mark of an educated mind to be able to entertain a thought without accepting it.,Aristotle
Agony,Inspirational,"We learn something every day, and lots of times it’s that what we learned the day before was wrong.",Bill Vaughan
Agony,Inspirational,"Don’t ever wrestle with a pig. You’ll both get dirty, but the pig will enjoy it.",Cale Yarborough
Disappointment,Inspirational,An inventor is simply a fellow who doesn’t take his education too seriously.,Charles F. Kettering
Insult,Inspirational,The cure for boredom is curiosity. There is no cure for curiosity.,Ellen Parr
Depressed,Inspirational,"The trouble with the rat race is that even if you win, you’re still a rat.",Lily Tomlin
Sorrow,Inspirational,Laughing at our mistakes can lengthen our own life. Laughing at someone else’s can shorten it.,Cullen Hightower
